id,en,es
TELMORI_VILLAGE_ARRIVAL,"The road opens onto a handful of stone houses with thatched roofs around a muddy square. There are fewer people about than you'd expect at this hour — the few you see glance at you sideways before looking away. At the inn's door, two shepherds are talking in low voices: gutted sheep in the high pasture, a horse that never came back two nights ago, and tracks by the stream that ""aren't from any dog they know."" One of them, noticing you arrive, tilts his chin toward a larger house near the well — the sheriff's.","El camino se abre en un puñado de casas de piedra y tejado de paja alrededor de una plaza embarrada. Hay menos gente de la que cabría esperar a esta hora — los pocos que veis os miran de reojo antes de apartar la vista. En la puerta de la posada, dos pastores discuten en voz baja: hablan de ovejas destripadas en el prado alto, de un caballo que no volvió anteanoche, y de huellas junto al arroyo que ""no son de ningún perro que conozcan"". Uno de ellos, al veros llegar, señala con la barbilla hacia una casa más grande cerca del pozo — la del sheriff."
TELMORI_VILLAGE_ARRIVAL_OPTION_CONTINUE,Go talk to the sheriff.,Ir a hablar con el sheriff.
TELMORI_SHERIFF_BRIEFING,"The sheriff receives you standing, without offering a seat — a weathered man, with more haste than patience. ""So you're the ones. Good, the sooner you start, the better."" He confirms what you've already heard in the square: gutted sheep, a missing horse, and now a girl who hasn't come home in three nights. ""Wolf tracks, but too big, and too far apart for an ordinary wolf. It's not the first time I've heard of this in these hills — men who turn beast under the full moon. Silver and a good aim are the only things that stop them."" He offers a hundred silver pieces if you find the girl alive, fifty if you bring back only proof of what killed her, and thirty at the very least for clearing out the threat, whatever it turns out to be.","El sheriff os recibe de pie, sin invitaros a sentaros — un hombre curtido, con más prisa que paciencia. ""Así que sois vosotros. Bien, cuanto antes empecéis, mejor."" Confirma lo que ya habéis oído en la plaza: ovejas destripadas, un caballo desaparecido, y ahora una muchacha que no volvió a casa hace tres noches. ""Huellas de lobo, pero demasiado grandes, y demasiado espaciadas para un lobo normal. No es la primera vez que oigo hablar de esto en estas colinas — hombres que se vuelven bestia con la luna llena. Plata y buena puntería es lo único que los para."" Os ofrece cien piezas de plata si encontráis a la muchacha con vida, cincuenta si solo traéis pruebas de qué la mató, y treinta como mínimo por limpiar la amenaza, encuentre lo que encuentre."
TELMORI_SHERIFF_BRIEFING_OPTION_ACCEPT,Accept the job.,Aceptar el encargo.
TELMORI_EQUIPMENT_ARROWS,"The sheriff takes you to the back room of the armorer's shop, where a boy is finishing fitting freshly cast points into a quiver. ""Real silver, not silver-plated trinkets — costs an arm and a leg, but nothing else will do against this."" He hands you the quiver without further ceremony.","El sheriff os lleva hasta la trastienda del armero, donde un muchacho termina de embutir puntas recién fundidas en un carcaj. ""Plata de verdad, no baratijas plateadas — cuestan un ojo de la cara, pero contra esto no hay otra cosa que sirva."" Os tiende el carcaj sin más ceremonia."
TELMORI_EQUIPMENT_ARROWS_OPTION_TAKE,Take the silver arrows.,Coger las flechas de plata.
TELMORI_EQUIPMENT_SPEAR,"The sheriff pulls an ancient-looking spear from a chest, faint runes carved near the tip. ""This one doesn't leave the village just like that. It's from the temple — they lent it to me, and I'm lending it to you. Bring it back, or come back and explain to the priest why you didn't."" He doesn't say exactly what it does, only that ""it burns when it needs to burn.""","El sheriff saca de un arcón una lanza de aspecto antiguo, con runas apenas visibles grabadas cerca de la punta. ""Esta no sale del pueblo así como así. Es del templo — me la han prestado a mí, y yo os la presto a vosotros. Volved con ella, o volved a explicarle al sacerdote por qué no la traéis."" No dice qué hace exactamente, solo que ""quema cuando hace falta que queme""."
TELMORI_EQUIPMENT_SPEAR_OPTION_TAKE,Take the spear and set off for the hills.,Coger la lanza y partir hacia las colinas.
TELMORI_HILLS_SEARCH_DAY1,"The hills open up beyond the last fence, dotted with rocks and gorse. Somewhere on this slope there must be a trail — footprints, fur caught on a bramble, something. The afternoon is starting to fade, and with it the chance of losing the thread before nightfall.","Las colinas se abren tras el último cercado, salpicadas de rocas y aulaga. En algún punto de esta ladera tiene que haber un rastro — pisadas, pelo enganchado en una zarza, algo. La tarde empieza a caer y con ella la posibilidad de perder el hilo antes de anochecer."
TELMORI_HILLS_SEARCH_DAY1_OPTION_SEARCH,Search for tracks.,Buscar rastros.
