id,en,es
DLG_PRINCE_01,"Greetings, traveler. What brings you to these lands?","Saludos, viajero. ¿Qué te trae por estas tierras?"
DLG_OPT_POLITE,"I come seeking knowledge, my lord.","Vengo buscando conocimiento, mi señor."
DLG_OPT_RUDE,"That's none of your business.","Eso no es asunto tuyo."
DLG_PRINCE_02_POLITE,"A noble pursuit. You are welcome here.","Una búsqueda noble. Eres bienvenido aquí."
DLG_PRINCE_03_RUDE,"Your insolence will not be tolerated!","¡Tu insolencia no será tolerada!"
DLG_OPT_GOODBYE,"Thank you, my lord. Farewell.","Gracias, mi señor. Adiós."
DLG_OPT_APOLOGIZE,"I apologize for my rudeness.","Me disculpo por mi grosería."
DLG_OPT_LEAVE,"I'm leaving.","Me voy."
DLG_PROLOGUE_INTRO_01,"You enter a dark hallway...","Entras en un pasillo oscuro..."
DLG_PROLOGUE_OPT_ENTER,"Enter the hallway","Entrar al pasillo"
DLG_PROLOGUE_OPT_LEAVE,"Leave immediately","Salir inmediatamente"
DLG_PROLOGUE_INTRO_02,"A mysterious figure appears ahead.","Una figura misteriosa aparece delante."
DLG_PROLOGUE_OPT_CONTINUE,"Approach cautiously","Acercarte con cautela"
DLG_PROLOGUE_INTRO_03,"The figure looks at you silently.","La figura te mira en silencio."
DLG_PROLOGUE_OPT_TALK,"Talk to the figure","Hablar con la figura"
DLG_PROLOGUE_OPT_IGNORE,"Ignore and move on","Ignorar y continuar"
